
*************************************************************
                       POINT NUMBER = 1
*************************************************************
DyFeO3                  ref        calc    error^2    %P.R.E.
cell(1_y)              0.0000     0.0000  0.0000e+00    0.00
cell(1_z)              0.0000     0.0000  0.0000e+00    0.00
cell(2_x)              0.2806     0.2793  1.6978e-06    0.46
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.2500     0.2500  0.0000e+00    0.00
cell(3_x)              0.0960     0.0990  9.0240e-06    3.13
cell(3_y)              0.3559     0.3602  1.8680e-05    1.21
cell(3_z)              0.1301     0.1311  9.1585e-07    0.74
cell(4_x)              0.0960     0.0991  9.7844e-06    3.26
cell(4_y)              0.3559     0.3604  2.0097e-05    1.26
cell(4_z)              0.1301     0.1312  1.1236e-06    0.81
cell(Volume)        1283.7630  1283.5933  2.8806e-02    0.01
cell(a)               10.8683    10.8678  2.2944e-07    0.00
cell(b)               10.8683    10.8678  2.2944e-07    0.00
cell(c)               10.8683    10.8678  2.2944e-07    0.00
-------------------------------------------------------------
HoFeO3                  ref        calc    error^2    %P.R.E.
cell(1_x)              0.4709     0.4601  1.1718e-04    2.30
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.0061     0.0079  3.3051e-06   29.80
cell(2_x)              0.0000     0.0000  0.0000e+00    0.00
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.0000     0.0000  0.0000e+00    0.00
cell(3_x)              0.5110     0.5471  1.3044e-03    7.07
cell(3_y)              0.2500     0.2500  0.0000e+00    0.00
cell(3_z)              0.5690     0.5981  8.4966e-04    5.12
cell(4_x)              0.2190     0.2032  2.5062e-04    7.23
cell(4_y)              0.0390     0.0524  1.7961e-04   34.36
cell(4_z)              0.2800     0.2990  3.5967e-04    6.77
cell(5_x)              0.5110     0.5475  1.3312e-03    7.14
cell(5_y)              0.2500     0.2500  0.0000e+00    0.00
cell(5_z)              0.5690     0.5984  8.6254e-04    5.16
cell(6_x)              0.2190     0.2029  2.5776e-04    7.33
cell(6_y)              0.0390     0.0526  1.8455e-04   34.83
cell(6_z)              0.2800     0.2989  3.5797e-04    6.76
cell(Volume)         224.3297   227.4836  9.9470e+00    1.41
cell(a)                5.5910     5.4991  8.4548e-03    1.64
cell(b)                7.6020     7.6860  7.0491e-03    1.10
cell(c)                5.2780     5.3823  1.0869e-02    1.98
-------------------------------------------------------------
Ho2O3                   ref        calc    error^2    %P.R.E.
cell(1_x)              0.2500     0.2500  0.0000e+00    0.00
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.2500     0.2500  0.0000e+00    0.00
cell(2_x)              0.9673     0.9710  1.3905e-05    0.39
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.2500     0.2500  0.0000e+00    0.00
cell(3_x)              0.3888     0.3899  1.2837e-06    0.29
cell(3_y)              0.1519     0.1510  7.7969e-07    0.58
cell(3_z)              0.3811     0.3810  1.0201e-08    0.03
cell(4_x)              0.3888     0.3898  9.4284e-07    0.25
cell(4_y)              0.1519     0.1509  1.0181e-06    0.66
cell(4_z)              0.3811     0.3811  1.6900e-10    0.00
cell(Volume)        1196.9246  1196.6863  5.6830e-02    0.02
cell(a)               10.6175    10.6168  4.9702e-07    0.01
cell(b)               10.6175    10.6168  4.9702e-07    0.01
cell(c)               10.6175    10.6168  4.9702e-07    0.01
-------------------------------------------------------------
LaFeO3                  ref        calc    error^2    %P.R.E.
cell(1_x)              0.4709     0.4745  1.2759e-05    0.76
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.0061     0.0035  6.7029e-06   42.44
cell(2_x)              0.0000     0.0000  0.0000e+00    0.00
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.0000     0.0000  0.0000e+00    0.00
cell(3_x)              0.5110     0.5250  1.9508e-04    2.73
cell(3_y)              0.2500     0.2500  0.0000e+00    0.00
cell(3_z)              0.5690     0.5715  6.0270e-06    0.43
cell(4_x)              0.2190     0.2119  5.0623e-05    3.25
cell(4_y)              0.0390     0.0375  2.3501e-06    3.93
cell(4_z)              0.2800     0.2892  8.5248e-05    3.30
cell(5_x)              0.5110     0.5253  2.0438e-04    2.80
