
*************************************************************
                       POINT NUMBER = 0
*************************************************************
DyFeO3                  ref        calc    error^2    %P.R.E.
cell(1_y)              0.0000     0.0000  0.0000e+00    0.00
cell(1_z)              0.0000     0.0000  0.0000e+00    0.00
cell(2_x)              0.2806     0.2793  1.5826e-06    0.45
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.2500     0.2500  0.0000e+00    0.00
cell(3_x)              0.0960     0.0990  9.0661e-06    3.14
cell(3_y)              0.3559     0.3602  1.8879e-05    1.22
cell(3_z)              0.1301     0.1311  9.2352e-07    0.74
cell(4_x)              0.0960     0.0991  9.8408e-06    3.27
cell(4_y)              0.3559     0.3604  2.0322e-05    1.27
cell(4_z)              0.1301     0.1312  1.1321e-06    0.82
cell(Volume)        1283.7630  1273.8597  9.8076e+01    0.77
cell(a)               10.8683    10.8403  7.8506e-04    0.26
cell(b)               10.8683    10.8403  7.8506e-04    0.26
cell(c)               10.8683    10.8403  7.8506e-04    0.26
-------------------------------------------------------------
HoFeO3                  ref        calc    error^2    %P.R.E.
cell(1_x)              0.4709     0.4607  1.0312e-04    2.16
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.0061     0.0075  1.9909e-06   23.13
cell(2_x)              0.0000     0.0000  0.0000e+00    0.00
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.0000     0.0000  0.0000e+00    0.00
cell(3_x)              0.5110     0.5446  1.1264e-03    6.57
cell(3_y)              0.2500     0.2500  0.0000e+00    0.00
cell(3_z)              0.5690     0.5951  6.8147e-04    4.59
cell(4_x)              0.2190     0.2039  2.2665e-04    6.87
cell(4_y)              0.0390     0.0507  1.3755e-04   30.07
cell(4_z)              0.2800     0.2981  3.2779e-04    6.47
cell(5_x)              0.5110     0.5449  1.1522e-03    6.64
cell(5_y)              0.2500     0.2500  0.0000e+00    0.00
cell(5_z)              0.5690     0.5953  6.9285e-04    4.63
cell(6_x)              0.2190     0.2037  2.3323e-04    6.97
cell(6_y)              0.0390     0.0509  1.4185e-04   30.54
cell(6_z)              0.2800     0.2981  3.2649e-04    6.45
cell(Volume)         224.3297   226.5415  4.8919e+00    0.99
cell(a)                5.5910     5.4915  9.8913e-03    1.78
cell(b)                7.6020     7.6682  4.3764e-03    0.87
cell(c)                5.2780     5.3798  1.0354e-02    1.93
-------------------------------------------------------------
Ho2O3                   ref        calc    error^2    %P.R.E.
cell(1_x)              0.2500     0.2500  0.0000e+00    0.00
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.2500     0.2500  0.0000e+00    0.00
cell(2_x)              0.9673     0.9709  1.3010e-05    0.37
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.2500     0.2500  0.0000e+00    0.00
cell(3_x)              0.3888     0.3899  1.1556e-06    0.28
cell(3_y)              0.1519     0.1510  8.0282e-07    0.59
cell(3_z)              0.3811     0.3810  7.0560e-09    0.02
cell(4_x)              0.3888     0.3897  8.2810e-07    0.23
cell(4_y)              0.1519     0.1509  1.0465e-06    0.67
cell(4_z)              0.3811     0.3811  7.8400e-10    0.01
cell(Volume)        1196.9246  1204.0468  5.0725e+01    0.60
cell(a)               10.6175    10.6385  4.4176e-04    0.20
cell(b)               10.6175    10.6385  4.4176e-04    0.20
cell(c)               10.6175    10.6385  4.4176e-04    0.20
-------------------------------------------------------------
LaFeO3                  ref        calc    error^2    %P.R.E.
cell(1_x)              0.4709     0.4752  1.8844e-05    0.92
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.0061     0.0033  7.6176e-06   45.25
cell(2_x)              0.0000     0.0000  0.0000e+00    0.00
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.0000     0.0000  0.0000e+00    0.00
cell(3_x)              0.5110     0.5237  1.6231e-04    2.49
cell(3_y)              0.2500     0.2500  0.0000e+00    0.00
cell(3_z)              0.5690     0.5697  4.8860e-07    0.12
cell(4_x)              0.2190     0.2126  4.1422e-05    2.94
cell(4_y)              0.0390     0.0365  6.1802e-06    6.37
cell(4_z)              0.2800     0.2885  7.1910e-05    3.03
cell(5_x)              0.5110     0.5241  1.7082e-04    2.56
