
*************************************************************
                       POINT NUMBER = 0
*************************************************************
DyFeO3                  ref        calc    error^2    %P.R.E.
cell(1_y)              0.0000     0.0000  0.0000e+00    0.00
cell(1_z)              0.0000     0.0000  0.0000e+00    0.00
cell(2_x)              0.2806     0.2795  1.2905e-06    0.40
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.2500     0.2500  0.0000e+00    0.00
cell(3_x)              0.0960     0.0990  9.0902e-06    3.14
cell(3_y)              0.3559     0.3603  1.9369e-05    1.24
cell(3_z)              0.1301     0.1311  9.7023e-07    0.76
cell(4_x)              0.0960     0.0991  9.8470e-06    3.27
cell(4_y)              0.3559     0.3605  2.0794e-05    1.28
cell(4_z)              0.1301     0.1312  1.1729e-06    0.83
cell(Volume)        1283.7630  1329.6099  2.1019e+03    3.57
cell(a)               10.8683    10.9962  1.6350e-02    1.18
cell(b)               10.8683    10.9962  1.6350e-02    1.18
cell(c)               10.8683    10.9962  1.6350e-02    1.18
-------------------------------------------------------------
HoFeO3                  ref        calc    error^2    %P.R.E.
cell(1_x)              0.4709     0.4622  7.5325e-05    1.84
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.0061     0.0068  5.3876e-07   12.03
cell(2_x)              0.0000     0.0000  0.0000e+00    0.00
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.0000     0.0000  0.0000e+00    0.00
cell(3_x)              0.5110     0.5410  8.9742e-04    5.86
cell(3_y)              0.2500     0.2500  0.0000e+00    0.00
cell(3_z)              0.5690     0.5908  4.7324e-04    3.82
cell(4_x)              0.2190     0.2051  1.9424e-04    6.36
cell(4_y)              0.0390     0.0483  8.6881e-05   23.90
cell(4_z)              0.2800     0.2969  2.8399e-04    6.02
cell(5_x)              0.5110     0.5413  9.2076e-04    5.94
cell(5_y)              0.2500     0.2500  0.0000e+00    0.00
cell(5_z)              0.5690     0.5910  4.8268e-04    3.86
cell(6_x)              0.2190     0.2049  1.9991e-04    6.46
cell(6_y)              0.0390     0.0485  9.0174e-05   24.35
cell(6_z)              0.2800     0.2968  2.8342e-04    6.01
cell(Volume)         224.3297   230.9883  4.4337e+01    2.97
cell(a)                5.5910     5.5248  4.3807e-03    1.18
cell(b)                7.6020     7.7117  1.2028e-02    1.44
cell(c)                5.2780     5.4216  2.0607e-02    2.72
-------------------------------------------------------------
Ho2O3                   ref        calc    error^2    %P.R.E.
cell(1_x)              0.2500     0.2500  0.0000e+00    0.00
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.2500     0.2500  0.0000e+00    0.00
cell(2_x)              0.9673     0.9708  1.2419e-05    0.36
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.2500     0.2500  0.0000e+00    0.00
cell(3_x)              0.3888     0.3898  1.0774e-06    0.27
cell(3_y)              0.1519     0.1510  8.0282e-07    0.59
cell(3_z)              0.3811     0.3810  4.3560e-09    0.02
cell(4_x)              0.3888     0.3897  7.6738e-07    0.23
cell(4_y)              0.1519     0.1509  1.0424e-06    0.67
cell(4_z)              0.3811     0.3811  1.6810e-09    0.01
cell(Volume)        1196.9246  1245.4409  2.3538e+03    4.05
cell(a)               10.6175    10.7591  2.0040e-02    1.33
cell(b)               10.6175    10.7591  2.0040e-02    1.33
cell(c)               10.6175    10.7591  2.0040e-02    1.33
-------------------------------------------------------------
LaFeO3                  ref        calc    error^2    %P.R.E.
cell(1_x)              0.4709     0.4781  5.2302e-05    1.54
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.0061     0.0028  1.1076e-05   54.56
cell(2_x)              0.0000     0.0000  0.0000e+00    0.00
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.0000     0.0000  0.0000e+00    0.00
cell(3_x)              0.5110     0.5202  8.5489e-05    1.81
cell(3_y)              0.2500     0.2500  0.0000e+00    0.00
cell(3_z)              0.5690     0.5650  1.6225e-05    0.71
cell(4_x)              0.2190     0.2147  1.8862e-05    1.98
cell(4_y)              0.0390     0.0339  2.6041e-05   13.08
cell(4_z)              0.2800     0.2862  3.8267e-05    2.21
cell(5_x)              0.5110     0.5206  9.1260e-05    1.87
